Rankings	Company	Industry
154.	HDFC Bank	Banking
155.	Barclays	Banking and Financial Services
156.	Munich Re	Banking and Financial Services
157.	Japan Post Holdings	Insurance
158.	Walgreens	Retail and Wholesale
159.	Danaher	Engineering, Manufacturing
160.	Generali Group	Insurance
161.	Møller-Maersk	Transportation
162.	Lowe's	Retail and Wholesale
163.	FedEx	Transportation and Logistics
164.	Deutsche Post	Transportation
165.	PNC Financial Services	Banking
166.	Broadcom	Semiconductors
167.	LukOil	Oil & Gas Operations
167.	Medtronic	Health Care Equipment & Services
169.	SAP	IT, Internet, Software & Services
170.	SK Hynix	Semiconductors
171.	ENGIE 	Oil & Gas Operations
172.	Lockheed Martin	Aerospace & Defense
173.	BlackRock	Diversified Financials
174.	Westpac Banking Group	Banking
175.	Duke Energy	Utilities
176.	Dell Technologies	Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment
177.	VINCI	Construction, Oil & Gas Operations, Mining and Chemicals
178.	Tokio Marine Holdings	Insurance
179.	América Móvil	Telecommunications Services, Cable Supplier
180.	E.ON	Utilities
181.	Anglo American	Materials
182.	Banco Bradesco	Banking
183.	ING Group	Diversified Financials
184.	Accenture	Professional Services
185.	Honeywell International	Engineering, Manufacturing
186.	Mizuho Financial	Banking
187.	Linde	Chemicals
188.	ArcelorMittal	Materials
189.	Canadian Imperial Bank	Banking
190.	Poly Developments & Holdings Group	Construction
191.	Micron Technology	Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment
192.	ANZ	Banking and Financial Services
193.	Fubon Financial	Insurance
194.	China Telecom	Telecommunications Services
195.	HCA Healthcare	Health Care Equipment & Services
196.	Dow	Construction, Oil & Gas Operations, Mining and Chemicals
196.	Telefónica	Telecommunications Services
198.	China Vanke	Construction
199.	NAB - National Australia Bank	Banking
200.	Cathay Financial	Insurance
201.	Qualcomm	Semiconductors
202.	L'Oréal	Packaged Goods
203.	Allstate	Insurance
204.	SAIC Motor	Consumer Durables
205.	ICICI Bank	Banking
206.	China Everbright Bank	Banking
207.	Gilead Sciences	Drugs & Biotechnology
208.	China Pacific Insurance	Insurance
209.	NVIDIA	Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment
210.	Amgen	Drugs & Biotechnology
211.	Union Pacific	Transportation
212.	Dai-ichi Life Insurance	Insurance
212.	Nike	Clothing, Shoes, Sports Equipment
214.	Takeda Pharmaceutical	Drugs & Biotechnology
215.	Philip Morris International	Food, Drink & Tobacco
216.	PayPal	Banking and Financial Services
217.	China Resources Land	Construction
218.	Oversea-Chinese Banking	Banking
219.	Midea Group	Engineering, Manufacturing
220.	Travelers	Insurance
221.	Eli Lilly	Drugs & Biotechnology
222.	Mondelez International	Food, Drink & Tobacco
223.	McDonald's	Hotels, Restaurants & Leisure
224.	General Electric	Engineering, Manufacturing
225.	Société Générale	Banking and Financial Services
226.	Schneider Electric	Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment
227.	3M	Engineering, Manufacturing
228.	Aflac	Insurance
229.	Oil & Natural Gas	Oil & Gas Operations
230.	Southern Company	Utilities
231.	Deutsche Bank	Banking
232.	PTT 	Oil & Gas Operations
233.	CK Hutchison	Conglomerates
234.	Canadian Natural Resources	Oil & Gas Operations
235.	Sun Life Financial	Banking and Financial Services
236.	Northrop Grumman	Aerospace & Defense
237.	Archer Daniels Midland	Food, Drink & Tobacco
238.	Marathon Petroleum	Oil & Gas Operations
239.	China Minsheng Bank	Banking
240.	Legal & General Group	Insurance
241.	Netflix	Media & Advertising
242.	Progressive	1937
243.	Longfor Group Holdings	Construction
244.	DBS	Banking
245.	Cosco Shipping	Transportation
246.	China Communications Construction	Construction
247.	NatWest Group	Banking
248.	Exelon	Utilities
248.	Humana	Drugs & Biotechnology
250.	General Dynamics	Aerospace & Defense
251.	Power Corp of Canada	Diversified Financials
252.	Qatar National Bank	Banking
253.	Bayer 	Drugs & Biotechnology 
253.	KKR	Diversified Financials
255.	Country Garden Holdings	Construction
256.	NextEra Energy	Utilities
257.	KB Financial Group	Banking
258.	China Railway Group	Construction
259.	HP	IT, Internet, Software & Services
260.	Nordea Bank	Banking
261.	Seven & I Holdings	Food Markets
262.	Suncor Energy	Construction, Oil & Gas Operations, Mining and Chemicals
263.	Salesforce.com	IT, Internet, Software & Services
264.	Air Liquide	Chemicals
265.	Denso	Consumer Durables
266.	Bank of New York Mellon	Banking
267.	Mastercard	1966
268.	Banco do Brasil	Banking
269.	Centene	Drugs & Biotechnology
269.	HDFC	Business Services & Supplies
271.	Freeport-McMoRan	Materials
272.	Merck KGaA, Darmstadt, Germany and its affiliates	Drugs & Biotechnology
273.	CaixaBank	Banking
274.	ABB	Engineering, Manufacturing
274.	Volvo Group	Consumer Durables
276.	Occidental Petroleum	Oil & Gas Operations
277.	National Grid	Utilities
278.	McKesson	Drugs & Biotechnology
279.	Shinhan Financial Group	Diversified Financials
280.	ASML Holding	Semiconductors
281.	Nutrien	Chemicals
282.	Investor AB	Diversified Financials
283.	KIA	Consumer Durables
283.	Saint-Gobain	Construction
285.	Novo Nordisk	Drugs & Biotechnology
285.	Posco	Materials
287.	Diageo	Food, Soft Beverages, Alcohol & Tobacco
288.	Royal Ahold Delhaize N.V.	Food Markets
289.	PICC	Insurance
290.	Dominion Energy	Utilities
291.	Kroger	Food Markets
292.	Baoshan Iron & Steel	Materials
293.	Kweichow Moutai	Food, Drink & Tobacco
293.	Xiaomi  	Technology Hardware & Equipment
295.	Bank of Ningbo	Banking
296.	Ecopetrol	Oil & Gas Operations
297.	LyondellBasell Industries	Chemicals
298.	Contemporary Amperex Technology	Capital Goods
299.	UniCredit	Banking
300.	AmerisourceBergen	Drugs & Biotechnology
301.	EssilorLuxottica	Health Care Equipment & Services
302.	Inditex	Retail and Wholesale
303.	Starbucks	Restaurants
304.	Nucor	Materials
305.	IntercontinentalExchange	Diversified Financials
305.	TJX Cos	Retailing
307.	KBC Group	Banking
307.	Tesco	Retail and Wholesale
309.	BOE Technology Group	Technology Hardware & Equipment
310.	Blackstone	1985
311.	American Electric	Utilities
312.	Macquarie Group	Diversified Financials
313.	Marubeni	Trading Companies
314.	Swiss Re 	Insurance
315.	EOG Resources	Oil & Gas Operations
316.	CNP Assurances	Insurance
317.	Automatic Data Processing	Business Services & Supplies
318.	Phillips 66	Oil & Gas Operations
319.	Tyson Foods	Food, Drink & Tobacco
320.	Repsol 	Oil & Gas Operations
321.	Sumitomo	Trading Companies
322.	Holcim	Construction
323.	Altria Group	Food, Drink & Tobacco
324.	Applied Materials	Semiconductors
325.	Daimler Truck Holding	Transportation
326.	Zijin Mining Group	Materials
