Rankings	Company	Industry
700.	Arch Capital Group	Insurance
701.	Jackson Financial	Diversified Financials
702.	Bank Leumi	Banking
703.	Trane Technologies	Conglomerates
703.	Veolia Environnement	Utilities
705.	O'Reilly Automotive	Retailing
706.	Biogen	Drugs & Biotechnology
707.	Publicis Groupe	Media
708.	Hanwha	Trading Companies
709.	The Mosaic Company	Construction, Oil & Gas Operations, Mining and Chemicals
710.	Bharti Airtel	Telecommunications Services
711.	Daqin Railway	Transportation
712.	Uber	IT Software & Services
713.	STMicroelectronics	Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment
714.	Gemdale	Construction
715.	Ageas	Insurance
716.	Quanta Computer	Technology Hardware & Equipment
717.	George Weston	Food Markets
717.	Weyerhaeuser	Diversified Financials
719.	Korea Electric Power	Utilities
720.	Fox	Media
721.	Mitsubishi Heavy Industries	Capital Goods
722.	Steel Dynamics	Engineering, Manufacturing
723.	Keyence	Technology Hardware & Equipment
724.	Longi Green Energy Technology	Semiconductors
725.	Reckitt Benckiser Group	Household & Personal Products
726.	Coal India	Materials
727.	Aisin Seiki	Consumer Durables
727.	Digital Realty Trust	Diversified Financials
729.	Tata Motors	Consumer Durables
730.	Resona Holdings	Banking
730.	Simon Property Group	Diversified Financials
732.	Industrial Bank of Korea	Banking
733.	CLP Holdings	Utilities
733.	National Bank of Kuwait 	Banking
735.	SingTel	Telecommunications Services
736.	Coinbase	IT Software & Services
737.	CenterPoint Energy	Utilities
738.	Saudi Arabian Mining	Materials
739.	China Cinda Asset Management	Diversified Financials
740.	Asahi Kasei	Chemicals
741.	NEC	Technology Hardware & Equipment
742.	United Airlines Holdings	Transportation
743.	MGM Resorts	Hotels, Restaurants & Leisure
744.	DSM	Engineering, Manufacturing
745.	Telkom Indonesia	Telecommunications Services
746.	PKN Orlen	Oil & Gas Operations
747.	Guotai Junan Securities	Diversified Financials
748.	Norsk Hydro	Materials
749.	Formosa Plastics	Chemicals
750.	NRG Energy	Utilities
751.	Public Bank	Banking
752.	TCL 	Technology Hardware & Equipment
753.	Huatai Securities	Diversified Financials
754.	Kellogg	Food, Soft Beverages, Alcohol & Tobacco
755.	Inner Mongolia Yili 	Food, Drink & Tobacco
756.	WPP	Media
757.	Omnicom Group	Media
758.	Sekisui House	Construction
759.	Cheniere Energy	Oil & Gas Operations
760.	Sandvik	Capital Goods
761.	Siam Cement	Chemicals
762.	East Japan Railway	Transportation
763.	Abu Dhabi Commercial Bank	Banking
764.	Huishang Bank	Banking
765.	Great Wall Motor 	Consumer Durables
766.	Haitong Securities	Diversified Financials
767.	Dongfeng Motor Group	Consumer Durables
768.	China Reinsurance Group	Insurance
769.	Henderson Land	Construction
770.	Samsung SDI	Technology Hardware & Equipment
771.	Fortis (Canada)	Utilities
772.	SK Telecom	Telecommunications Services
773.	HAL Trust	Diversified Financials
774.	Banco Btg Pactual	Diversified Financials
775.	Baker Hughes Company	Construction, Oil & Gas Operations, Mining and Chemicals
775.	Gallagher	Insurance
777.	Everest Re Group	Insurance
778.	Amphenol	Technology Hardware & Equipment
779.	American Airlines Group	Transportation and Logistics
780.	KLA	IT, Internet, Software & Services
781.	Astellas Pharma	Drugs & Biotechnology
782.	Otsuka Holding	Drugs & Biotechnology
783.	China Bohai Bank	Banking
784.	Kasikornbank	Banking
785.	Bank Hapoalim	Banking
786.	Woodside Petroleum	Oil & Gas Operations
787.	MTR	Transportation
788.	Tatneft	Oil & Gas Operations
789.	Power Finance	Business Services & Supplies
790.	Zoetis	Drugs & Biotechnology
791.	Lonza Group	Drugs & Biotechnology
792.	Eiffage	Construction
792.	Sumitomo Chemical	Chemicals
794.	Vertex Pharmaceuticals	Drugs & Biotechnology
795.	Constellation Energy	Utilities
796.	CIFI Holdings Group	Construction
797.	Raiffeisen Bank International	Banking
798.	Whirlpool	Consumer Durables
799.	Siemens Energy	Capital Goods
800.	WestRock	Materials
801.	Samsung Fire & Marine	Insurance
802.	US Steel	Materials
803.	UPM-Kymmene	Materials
804.	Formosa Chemicals	Chemicals
804.	SK Innovation 	Oil & Gas Operations
806.	Telia	Telecommunications Services
807.	T&D Holdings	Insurance
808.	Mapfre	Insurance
809.	HCL Technologies	IT Software & Services
810.	Sumitomo Realty	Construction
811.	Westlake Chemical	Chemicals
812.	Apollo Global Management	Diversified Financials
813.	United Rentals	Business Services & Supplies
814.	Diamondback Energy	Oil & Gas Operations
815.	Otis Worldwide	Engineering, Manufacturing
816.	Chongqing Rural Bank	Banking
817.	Ball	Materials
818.	Stora Enso	Materials
819.	Yang Ming Marine Transport	Transportation
820.	Phoenix Group Holdings	Insurance
821.	Wipro	IT Software & Services
822.	Power Grid of India	Utilities
823.	Absa Group	Banking and Financial Services
823.	Novolipetsk Steel	Materials
823.	Sumitomo Electric	Capital Goods
826.	St. James's Place	Insurance
827.	Grasim Industries	Construction
827.	Segro	Diversified Financials
829.	Mega Financial Holding	Diversified Financials
830.	Zhongsheng Group Holdings	Retailing
831.	Shin Kong Financial	Insurance
832.	CMS Energy	Utilities
833.	Quinenco	Conglomerates
834.	Evonik Industries	Chemicals
835.	East Money Information  	IT Software & Services
836.	QBE Insurance Group	Insurance
837.	Tenaga Nasional	Utilities
838.	Naver	IT Software & Services
839.	TDK	Technology Hardware & Equipment
840.	Nomura	Diversified Financials
841.	Jinke Property Group	Construction
842.	Tokyo Electric Power	Utilities
843.	CDW	IT, Internet, Software & Services
844.	The Hershey Company	Food, Soft Beverages, Alcohol & Tobacco
845.	ITC	Food, Drink & Tobacco
845.	Pgnig Group	Oil & Gas Operations
847.	MTN Group	Telecommunications Services
848.	Compass Group	Business Services & Supplies
849.	WR Berkley	Insurance
850.	Moody's	Business Services & Supplies
851.	Genuine Parts	Trading Companies
852.	Beijing-Shanghai High-Speed Railway	Transportation
853.	Aluminum Corp of China	Materials
853.	Kansai Electric Power	Utilities
855.	Public Storage	Diversified Financials
856.	China International Travel Service	Business Services & Supplies
857.	Sika	Chemicals
858.	Signature Bank	Banking
859.	T Rowe Price	Diversified Financials
860.	International Flavors & Fragrances	Household & Personal Products
861.	Atlantia	Transportation
862.	Roper Technologies	Conglomerates
863.	Shanghai International Port	Transportation
864.	Daiichi Sankyo	Drugs & Biotechnology
865.	Rakuten	Business Services & Supplies
866.	Franklin Resources	Diversified Financials
867.	Bank of Ireland	Banking
868.	Mitsui OSK Lines	Transportation
868.	Saudi British Bank	Banking
870.	Ameren	Utilities
871.	Chunghwa Telecom	Telecommunications Services, Cable Supplier
872.	Assa Abloy	Capital Goods
873.	ZTE	Telecommunications Services, Cable Supplier
874.	Asr Nederland	Insurance
875.	Conagra Brands	Food, Drink & Tobacco
876.	Commerzbank	Banking
877.	Bajaj Finserv 	Conglomerates
878.	Hyundai Steel	Materials
879.	LG Display	Trading Companies
880.	KT 	Telecommunications Services
880.	Logan Property Holdings	Construction
880.	Public Service Enterprise Group	Utilities
883.	EN+ Group International 	Materials
884.	Isbank	Banking
885.	Expeditors International	Transportation
886.	Ternium	Materials
887.	CEZ Group	Utilities
888.	Isuzu Motors	Consumer Durables
888.	Renesas Electronics	Semiconductors
890.	Universal Music Group	Business Services & Supplies
891.	Unipol Gruppo	Banking and Financial Services
892.	SBI Holdings	Diversified Financials
893.	Techtronic Industries	Consumer Durables
894.	Ferrovial	Transportation
895.	CIMB Group Holdings	Banking
896.	Kone	Construction
897.	E-mart 	Retailing
898.	GF Securities	Diversified Financials
899.	China Merchants Securities	Diversified Financials
900.	Annaly Capital Management	Diversified Financials
901.	Coles Group	Food Markets
902.	Central Japan Railway	Transportation
902.	Sabanci Holding	Diversified Financials
904.	Yuanta Financial Holding	Diversified Financials
905.	AntarChile	Diversified Financials
906.	HMM	Transportation
906.	Seagate Technology	Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment
908.	Alleghany	Insurance
909.	Guosen Securities	Diversified Financials
910.	Avis Budget Group	Travel & Leisure
911.	Jiangxi Copper	Materials
911.	Mitsubishi UFJ Lease	Business Services & Supplies
913.	Sumitomo Metal Mining	Materials
914.	Asustek Computer	Technology Hardware & Equipment
915.	Associated British Foods	Food, Drink & Tobacco
915.	China National Nuclear Power	Utilities
917.	China International Capital	Diversified Financials
918.	China Molybdenum	Materials
919.	Equitable Holdings	Diversified Financials
920.	Covestro	Construction, Oil & Gas Operations, Mining and Chemicals
920.	M&G	Diversified Financials
922.	Shopify	IT, Internet, Software & Services
923.	Shanghai Construction 	Construction
924.	Essity	Household & Personal Products
925.	WW Grainger	Trading Companies
926.	Canara Bank	Banking
927.	Viatris	Drugs & Biotechnology
928.	American Water Works	Utilities
929.	United Microelectronics	Semiconductors
930.	VF	Clothing, Shoes, Sports Equipment
931.	Intuitive Surgical	Health Care Equipment & Services
932.	Snam	Oil & Gas Operations
933.	Vestas Wind Systems	Capital Goods
934.	Subaru	Consumer Durables
935.	Jiangsu Zhongnan Construction Group	Construction
936.	Carlsberg	Food, Drink & Tobacco
937.	Builders FirstSource	Retailing
937.	Semiconductor Manufacturing International	Semiconductors
939.	PKO Bank Polski	Banking
940.	ENN Energy Holdings	Oil & Gas Operations
941.	WH Group 	Food, Drink & Tobacco
942.	Amcor	Engineering, Manufacturing
943.	Korea Gas	Oil & Gas Operations
944.	Jefferies Financial 	Conglomerates
945.	Severstal	Materials
946.	Alexandria Real Estate Equities	Diversified Financials
946.	Julius Baer Group	Banking
946.	Sanlam	Diversified Financials
949.	Emaar Properties	Construction
950.	Joint Stock Commercial Bank for Foreign Trade of Vietnam	Banking
951.	Motorola Solutions	Aerospace & Defense
951.	Shanghai Rural Commercial Bank	Banking
953.	Braskem	Chemicals
954.	Bank of Baroda	Banking
955.	S-Oil	Oil & Gas Operations
956.	Tractor Supply	Retail and Wholesale
957.	Suncorp Group	Insurance
958.	MOL Hungarian Oil	Oil & Gas Operations
959.	Aptiv	Consumer Durables
960.	Voya Financial	Insurance
961.	GS Holdings	Conglomerates
962.	Gerdau (Cosigua)	Materials
963.	Equity Residential	Diversified Financials
964.	Qatar Islamic Bank	Banking
965.	Hormel Foods	Food, Drink & Tobacco
966.	Shenwan Hongyuan Group	Diversified Financials
967.	Reinsurance Group of America	Insurance
968.	Quest Diagnostics	Health Care Equipment & Services
969.	Solvay	Construction, Oil & Gas Operations, Mining and Chemicals
970.	Pembina Pipeline	Oil & Gas Operations
971.	Banque Saudi Fransi	Banking
972.	SMC	Capital Goods
973.	Sasol	Construction, Oil & Gas Operations, Mining and Chemicals
974.	Molson Coors Brewing	Food, Drink & Tobacco
975.	Macy's	Retailing
976.	Bancolombia	Banking
976.	Cintas	Business Services & Supplies
978.	China International Marine	Capital Goods
979.	Huaneng Power International	Utilities
979.	Restaurant Brands International	Hotels, Restaurants & Leisure
981.	Grupa PZU	Insurance
982.	Kao 	Household & Personal Products
983.	Agile Group Holdings	Construction
984.	Arrow Electronics	Trading Companies
985.	Shenzhen Overseas	Business Services & Supplies
985.	Tenet Healthcare	Health Care Equipment & Services
987.	Grupo Aval	Diversified Financials
988.	CP All	Food Markets
989.	Geely Automobile Holdings	Consumer Durables
990.	Centrica	Utilities
990.	Dubai Islamic Bank	Banking
992.	Suzano Papel e Celulose	Materials
993.	Link REIT	Diversified Financials
994.	Yum! Brands	Hotels, Restaurants & Leisure
995.	First Quantum Minerals	Materials
996.	AerCap Holdings	Business Services & Supplies
997.	First Horizon	Banking and Financial Services
998.	Dentsu	Media
998.	Molina Healthcare	Health Care Equipment & Services
1000.	Union Bank of India	Banking
1001.	Toray Industries	Household & Personal Products
1002.	Block	IT Software & Services
1002.	Eletrobrás	Utilities
1004.	China Mengniu Dairy	Food, Drink & Tobacco
1005.	Db Insurance	Insurance
1006.	E.Sun Financial	Banking
1007.	OTP Bank	Banking
1008.	SM Investments	Retailing
1009.	eBay	Retail and Wholesale
1010.	Edwards Lifesciences	Drugs & Biotechnology
1011.	Taiwan Cooperative Financial	Banking
1012.	Constellation Brands	Food, Drink & Tobacco
1013.	China Jinmao	Construction
1014.	Fanuc	Capital Goods
1015.	Yango Group	Construction
1016.	Legrand	Capital Goods
1017.	Shanghai Pharmaceuticals	Drugs & Biotechnology
1018.	AGC	Chemicals
1019.	Shaanxi Construction Engineering Group	Construction
1020.	Hunan Valin Steel	Materials
1021.	Goodman Group	Construction
1022.	iA Financial Corporation	Insurance
1023.	Unum	Insurance
1024.	Anta Sports Products	Household & Personal Products
1025.	Continental Resources	Oil & Gas Operations
1026.	Bâloise Group	Insurance
1027.	Pegatron	Technology Hardware & Equipment
1028.	Jones Lang LaSalle	Construction
1029.	American Financial Group	1959
1029.	Daiwa Securities	Diversified Financials
1031.	Deutsche Lufthansa	Transportation
1031.	Invesco	Diversified Financials
1031.	NASDAQ	1971
1034.	Schindler Holding	Capital Goods
1035.	Comerica	Banking
1036.	Mizrahi Tefahot Bank	Banking
1037.	Bio-Rad Laboratories	Health Care Equipment & Services
1038.	Industries Qatar	Chemicals
1039.	Kakao	IT Software & Services
1040.	Ashtead Group	Business Services & Supplies
1041.	Punjab National Bank	Banking
1042.	Delta Electronics	Technology Hardware & Equipment
1043.	Alcon	Health Care Equipment & Services
1043.	TD SYNNEX	Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment
1045.	Antofagasta	Materials
1045.	PulteGroup	Construction
1045.	Wan Hai Lines	Transportation
1048.	Equinix	Diversified Financials
1048.	Reliance Steel	Materials
1050.	PTT Global Chemical	Chemicals
1051.	Bankinter	Banking
1052.	Teva Pharmaceutical	Drugs & Biotechnology
1053.	C.H. Robinson	Transportation
1054.	Verbund	Utilities
1055.	Zions Bancorp	Banking and Financial Services
1056.	Bank Of Chengdu	Banking
1057.	3i Group	Diversified Financials
1057.	Alinma Bank	Banking
1059.	JDE Peet's	Food & Drink
1060.	Cosmo Energy Holdings	Oil & Gas Operations
1061.	RiseSun Real Estate Development	Construction
1061.	Uni-President	Food, Drink & Tobacco
1063.	Mahindra & Mahindra	Consumer Durables
1064.	Telenor	Telecommunications Services
1065.	UCB	Drugs & Biotechnology
1066.	Interpublic Group	Business Services & Supplies
1067.	Akzo Nobel	Chemicals
1067.	Celanese	Chemicals
1069.	AvalonBay Communities	Diversified Financials
1069.	Randstad N.V.	Business Services & Supplies
1071.	Sibanye Stillwater	Materials
1072.	First Financial Holding	Banking
1073.	Microchip Technology	Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment
1074.	Flex	Technology Hardware & Equipment
1074.	Liberty Media Corporation Series A Liberty Formula One	Media
1076.	Agilent Technologies	Health Care Equipment & Services
1077.	Guangzhou Automobile Group	Consumer Durables
1078.	Rosseti	Utilities
1079.	Beijing Shougang	Materials
1080.	CGI	Professional Services
1081.	Csc Financial	Diversified Financials
1081.	ThyssenKrupp Group	Conglomerates
1083.	Shenzhen Mindray Bio-Medical Electronics	Health Care Equipment & Services
1084.	Hoya	Technology Hardware & Equipment
1085.	Tongwei	Food, Drink & Tobacco
1086.	Kuwait Finance House	Banking
1087.	Grupo Bimbo	Food, Drink & Tobacco
1087.	LKQ	Consumer Durables
1089.	Chubu Electric Power	Utilities
1090.	Lithia Motors	Retailing
1091.	Swire Pacific	Conglomerates
1092.	Unicaja Banco	Banking
1093.	Mazda Motor	Automotive (Automotive and Suppliers)
1094.	Telecom Italia	Telecommunications Services
1095.	China Galaxy Securities	Diversified Financials
1096.	CNPC Capital	Capital Goods
1097.	China Southern Airlines	Transportation
1097.	Dassault Systemes	IT Software & Services
1099.	GD Power Development	Utilities
1100.	Paychex	Business Services & Supplies
1101.	Genworth Financial	Insurance
1101.	Monster Beverage	Food, Drink & Tobacco
1103.	China Longyuan Power	Utilities
1104.	Ovintiv	Oil & Gas Operations
1105.	BDO Unibank	Banking
1106.	AutoNation	Retailing
1106.	China Aoyuan Group	Construction
1108.	Chesapeake Energy	Oil & Gas Operations
1109.	J.B. Hunt Transport Services	Transportation and Logistics
1110.	Mediobanca	Banking
1111.	Credicorp	Banking
1112.	Realty Income	Diversified Financials
1113.	Beijing Enterprises	Conglomerates
1114.	Coterra Energy 	Oil & Gas Operations
1115.	Siam Commercial Bank	Banking
1116.	Nongfu Spring	Food & Drink
1117.	Finatis	Trading Companies
1118.	Greentown China Holdings	Construction
1119.	Meritz Financial Group	Insurance
1120.	TBEA	Capital Goods
1121.	Rockwell Automation	Capital Goods
1122.	West Fraser Timber Co.	Materials
1123.	Helvetia Holding	Insurance
1124.	Chow Tai Fook Jewellery	Consumer Durables
1125.	Givaudan	Construction, Oil & Gas Operations, Mining and Chemicals
1126.	Polyus	Materials
1127.	Lululemon Athletica	Clothing, Shoes, Sports Equipment
1128.	Bath & Body Works	Retail and Wholesale
1128.	Jabil Circuit	Technology Hardware & Equipment
1130.	Innolux	Technology Hardware & Equipment
1131.	Partners Group Holding	Diversified Financials
1132.	Luzhou Lao Jiao	Food, Drink & Tobacco
1132.	Scor	Insurance
1134.	Dover	Conglomerates
1135.	East West Bancorp	Banking
1136.	J Sainsbury	Retail and Wholesale
1137.	Kaisa Group Holdings	Construction
1138.	China Huarong Asset Management	Diversified Financials
1139.	AU Optronics	Technology Hardware & Equipment
1139.	Ulta Beauty	Retail and Wholesale
1141.	Korea Investment Holdings	Diversified Financials
1142.	Itaúsa	Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment
1143.	BAIC Motor	Consumer Durables
1144.	Cellnex Telecom	Telecommunications Services
1145.	AES	Utilities
1145.	Evraz Group	Materials
1145.	Leonardo	Aerospace & Defense
1148.	Impala Platinum Holdings	Materials
1149.	Lotte Chemical	Chemicals
1150.	Foshan Haitian Flavouring and Food	Food, Drink & Tobacco
1151.	Rolls-Royce Holdings	Engineering, Manufacturing
1152.	Sodexo	Business Services & Supplies
1153.	Altice USA	Media
1153.	Bank Negara Indonesia	Banking
1155.	DaVita	Health Care Equipment & Services
1156.	Old Mutual	Diversified Financials
1156.	Yum China Holdings	Hotels, Restaurants & Leisure
1158.	Penske Automotive	Retailing
1158.	Yamaha Motor	Consumer Durables
1160.	Kingfisher	Retailing
1161.	Storebrand	Insurance
1162.	Darden Restaurants	Restaurants
1163.	Hess	Oil & Gas Operations
1164.	CJ Corporation	Food, Drink & Tobacco
1165.	Falabella	Retailing
1166.	Coupang	Retailing
1167.	CapitaLand Investment	Construction
1167.	Fastighets Balder	Construction
1169.	Welltower	Diversified Financials
1170.	Kajima	Construction
1171.	Steel Authority of India	Materials
1172.	Caesars Entertainment	Travel & Leisure
1173.	New World Development	Construction
1174.	Textron	Aerospace & Defense
1175.	Cemex	Construction
1176.	Hexagon 	Conglomerates
1177.	ZIM Integrated Shipping Services	Transportation
1178.	China National Chemical	Construction
1179.	Fastenal	Trading Companies
1180.	Chongqing Zhifei Biological Products	Drugs & Biotechnology
1180.	Secom	Business Services & Supplies
1182.	Angang Steel	Materials
1182.	STO Express	Construction
1184.	Zoom Video Communications	IT Software & Services
1185.	Magnitogorsk Iron & Steel	Materials
1186.	NVR	Construction
1187.	Evergy	Utilities
1188.	Alpha Dhabi Holding	Construction
1188.	Kirin Holdings	Food, Drink & Tobacco
1190.	Bank of Changsha	Banking
1190.	Voestalpine	Materials
1192.	China Resources Pharmaceutical Group	Drugs & Biotechnology
1193.	Kuaishou Technology	IT Software & Services
1194.	BBMG	Construction
1195.	Suning.com	Retailing
1196.	National Bank of Greece	Banking
1197.	Targa Resources	Oil & Gas Operations
1198.	Olympus	Technology Hardware & Equipment
1198.	Umicore	Materials
1200.	Expedia Group	Business Services & Supplies
1200.	Hua Nan Financial	Diversified Financials
1202.	Jiangsu Yanghe Brewery	Food, Drink & Tobacco
1202.	Kerry Group	Food, Drink & Tobacco
1204.	Beiersdorf	Household & Personal Products
1205.	Leidos	IT, Internet, Software & Services
1206.	Eastman	Chemicals
1207.	Vistra Energy	Utilities
1208.	Tohoku Electric Power	Utilities
1209.	Banca Mediolanum	Insurance
1210.	PGE Polska Grupa Energetyczna	Utilities
1211.	TransDigm Group	Aerospace & Defense
1212.	Experian	Business Services & Supplies
1212.	Mirae Asset Financial Group	Diversified Financials
1214.	EQT AB	Diversified Financials
1215.	GAIL India	Oil & Gas Operations
1216.	Inner Mongolia Baotou Steel	Materials
1217.	Towngas	Oil & Gas Operations
1218.	ON Semiconductor Corp.	Semiconductors
1218.	Terna	Utilities
1220.	Carnival Corporation	Travel & Leisure      
1221.	VICI Properties	Diversified Financials
1222.	Chipotle Mexican Grill	Hotels, Restaurants & Leisure
1223.	Toppan Printing	Business Services & Supplies
1224.	Shanghai Electric Group	Capital Goods
1224.	Turkish Airlines	Transportation
1226.	Ferrari	Consumer Durables
1227.	Old Republic International	Insurance
1228.	Jeronimo Martins	Food Markets
1229.	Zimmer Biomet	Health Care Equipment & Services
1230.	Alcoa	Materials
1231.	Santos	Oil & Gas Operations
1232.	Alstom	Capital Goods
1233.	Kyushu Electric Power	Utilities
1234.	Goodyear	Automotive (Automotive and Suppliers)
1234.	Tenaris	Materials
1236.	Bluescope Steel	Materials
1236.	Petronas Chemicals	Chemicals
1238.	Illumina	Drugs & Biotechnology
1238.	Synopsys	IT Software & Services
1240.	Datang International Power	Utilities
1241.	Top Frontier Investment Holdings	Oil & Gas Operations
1242.	Arkema	Chemicals
1243.	Nippon Paint	Chemicals
1244.	Kobe Steel	Materials
1245.	Bank of Greece	Banking
1246.	Bank Of Guiyang	Banking
1246.	HD HYUNDAI	Capital Goods
1248.	Royal Mail	Transportation and Logistics
1249.	Eurofins Scientific Societe Europeenne	Health Care Equipment & Services
1250.	Lundbergs	Diversified Financials
1251.	Guangzhou R&F	Construction
1252.	China Gas Holdings	Utilities
1252.	Shanxi Xinghuacun Fen Wine Factory	Food, Drink & Tobacco
1254.	Hologic	Health Care Equipment & Services
1255.	Western Alliance Bancorp.	Banking
1256.	Wuchan Zhongda Group	Trading Companies
1257.	Metro	Food Markets
1258.	Raizen	Retailing
1259.	Old Dominion Freight Line	Transportation and Logistics
1260.	Israel Discount Bank	Banking
1261.	Bangkok Bank	Banking
1262.	Akbank	Banking
1263.	Mitsui Chemicals	Chemicals
1264.	Midea Real Estate Holding	Construction
1265.	Sharp	Consumer Durables
1266.	KPN	Telecommunications Services
1267.	Kohl's	Retailing
1268.	Chongqing Changan Auto	Consumer Durables
1269.	Canadian Tire	Retail and Wholesale
1269.	Vienna Insurance Group	Insurance
1271.	New Hope Liuhe	Food, Drink & Tobacco
1272.	Sichuan Road & Bridge	Construction
1273.	Copart	Business Services & Supplies
1273.	Dick's Sporting Goods	Retail and Wholesale
1275.	Jiangsu Hengrui Medicine	Drugs & Biotechnology
1276.	Universal Health Services	Health Care Equipment & Services
1277.	Grupo Inbursa	Banking
1278.	Dongguan Rural Commercial Bank	Banking
1279.	Dassault Aviation	Aerospace & Defense
1280.	Yara International	Chemicals
1281.	Banco de Sabadell	Banking
1281.	Olam Group	Food, Drink & Tobacco
1283.	Wuxi Apptec	Drugs & Biotechnology
1284.	Popular	Banking
1285.	Hydro One	Utilities
1285.	SG Holdings	Transportation
1285.	Sojitz	Trading Companies
1288.	Goertek	Technology Hardware & Equipment
1289.	Frontier Communications Parent	Telecommunications Services
1290.	Samhallsbyggnadsbolaget I Norden	Construction
1290.	Schaeffler	Consumer Durables
1292.	Migdal Insurance	Insurance
1293.	Inter Rao	Utilities
1293.	Nedbank	Banking
1295.	Hopson Development Holdings	Construction
1296.	Ametek	Conglomerates
1297.	LG 	Chemicals
1297.	Skanska	Construction, Oil & Gas Operations, Mining and Chemicals
1299.	HBIS	Materials
1300.	Banco BPM	Banking
1301.	China Fortune Land Development	Construction
1302.	Adyen	IT Software & Services
1303.	Air France-KLM	Transportation and Logistics
1304.	Jacobs Engineering	Construction, Oil & Gas Operations, Mining and Chemicals
1305.	China Resources Power	Utilities
1305.	PPL	Utilities
1307.	AIB Group	Banking
1308.	Transurban Group	Transportation
1309.	Tourmaline Oil	Oil & Gas Operations
1310.	Arab National Bank	Banking
1311.	Marvell Technology	Semiconductors
1312.	Skyworks Solutions	Semiconductors
1313.	Arista Networks	Technology Hardware & Equipment
1314.	China Three Gorges Renewables (Group)	Utilities
1315.	Electronic Arts	Media & Advertising
1316.	Flutter Entertainment	Hotels, Restaurants & Leisure
1317.	Brighthouse Financial	Insurance
1317.	International Airlines	Transportation
1319.	Boliden	Materials
1320.	CF Industries Holdings	Construction, Oil & Gas Operations, Mining and Chemicals
1320.	Krung Thai Bank	Banking
1322.	DiDi Global	IT Software & Services
1323.	Hyundai Marine & Fire	Insurance
1324.	CSN	Materials
1325.	APA	Oil & Gas Operations
1326.	SSAB AB	Materials
1326.	Teleperformance	Business Services & Supplies
1328.	Campbell Soup	Food, Drink & Tobacco
1329.	Sofina	Diversified Financials
1330.	Bunzl	Trading Companies
1331.	CJ Cheiljedang	Food, Drink & Tobacco
1332.	Magnit PJSC	Food Markets
1333.	Huadian Power International	Construction
1334.	NARI Technology Development	Capital Goods
1335.	Marathon Oil	Oil & Gas Operations
1336.	Eurazeo	Diversified Financials
1337.	Tokyo Gas	Oil & Gas Operations
1338.	Guangzhou Rural Commercial Bank	Banking
1339.	Heimstaden AB Pref. Shs	Construction
1340.	Keysight Technologies	Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment
1341.	Schroders	Diversified Financials
1341.	StoneX Group	Diversified Financials
1343.	Aurubis	Materials
1344.	Garmin	Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment
1345.	Compal Electronics	Technology Hardware & Equipment
1345.	ENN Natural Gas	Chemicals
1347.	Phoenix Holdings	Insurance
1348.	McCormick	Food, Drink & Tobacco
1349.	Indian Bank	Banking
1350.	IDEXX Laboratories	Health Care Equipment & Services
1350.	Smurfit Kappa Group	Materials
1352.	Xinjiang Daqo New Energy	Materials
1353.	Halkbank	Banking
1354.	Waste Connections	Business Services & Supplies
1355.	Swatch Group	Consumer Durables
1356.	South32	Materials
1357.	China Overseas Grand Oceans Group	Construction
1358.	Tokyo Century	Business Services & Supplies
1359.	Japan Exchange Group	Diversified Financials
1360.	Terumo	Health Care Equipment & Services
1361.	LEG Immobilien AG	Construction
1362.	Sun Pharma Industries	Drugs & Biotechnology
1363.	Brown-Forman	Food, Soft Beverages, Alcohol & Tobacco
1364.	Assurant	Insurance
1365.	Ajinomoto	Food, Drink & Tobacco
1366.	Indorama Ventures	Chemicals
1367.	Taishin Financial Holdings	Diversified Financials
1367.	Zoomlion Heavy Industry	Capital Goods
1369.	XCMG Construction Machinery	Capital Goods
1370.	Powerlong Real Estate 	Construction
1370.	Yuexiu Property 	Construction
1372.	Sonic Healthcare	Health Care Equipment & Services
1373.	NetApp	Technology Hardware & Equipment
1373.	Wolters Kluwer	Media
1375.	Galp Energia	Oil & Gas Operations
1376.	NEXON	IT Software & Services
1376.	Royal Caribbean Group	Hotels, Restaurants & Leisure
1378.	Extra Space Storage	Diversified Financials
1378.	Shengjing Bank	Banking
1380.	X5 Retail Group	Food Markets
1381.	Cadence Design	IT Software & Services
1381.	VakifBank	Banking
1383.	AGCO	Capital Goods
1383.	Shanxi Taigang Stainless	Materials
1385.	Grupo Elektra	Retailing
1385.	SDIC Power Holdings	Utilities
1387.	Zhongliang Holdings 	Construction
1388.	Wuestenrot & Wuerttembergische	Diversified Financials
1389.	MSCI	Business Services & Supplies
1390.	BPER Banca	Banking
1391.	Obayashi	Construction
1392.	BNK Financial Group	Banking
1392.	Oji Holdings	Materials
1394.	Spotify Technology	IT, Internet, Software & Services
1395.	Coloplast	Health Care Equipment & Services
1396.	Brenntag	Trading Companies
1397.	Wens Foodstuff Group	Food, Drink & Tobacco
1398.	First American Financial	Insurance
1399.	Euronext	Diversified Financials
1400.	Masraf Al Rayan	Banking
1401.	MercadoLibre	IT Software & Services
1401.	Packaging Corp of America	Materials
1403.	Mitsubishi Materials	Materials
